Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Total_EMI_per_month,Amount_invested_monthly,Monthly_Balance,ID,Customer_ID,Name,Age,Occupation,Type_of_Loan,Credit_Mix,Payment_of_Min_Amount,Payment_Behaviour,Credit_Score
19114.12,1824.8433333333328,3.0,4.0,3.0,4.0,4.25,5.5,10.395,4.0,809.98,27.160723377981256,268.5,49.57494921489417,21.465380264657146,304.55529386146554,5634,3392,Aaron Maashoh,23.0,Scientist,"Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan",Good,No,High_spent_Medium_value_payments,Good
34847.84,3037.986666666666,2.0,4.0,6.0,1.0,3.5,2.25,5.795,2.0,605.03,33.48086854582061,322.5,18.816214573128885,39.684018417945296,454.3444527457968,5646,8625,Rick Rothackerj,28.0,Teacher,Credit-Builder Loan,Good,No,High_spent_Large_value_payments,Good
55819.32916666667,4721.277430555555,7.333333333333333,6.5,19.5,4.0,34.3125,15.020833333333334,13.401666666666669,7.833333333333333,2256.193333333333,31.845157288219117,174.1875,126.02180416743408,70.88596207163248,429.12820054922446,120942,11708,Langep,44.0,Accountant,"Auto Loan, Auto Loan, and Not Specified",Bad,Yes,Low_spent_Small_value_payments,Standard
33800.71666666667,2736.3930555555557,4.0,4.333333333333333,13.666666666666666,4.0,22.041666666666668,12.5,6.773333333333333,5.083333333333333,1124.3433333333335,32.48037246583957,216.16666666666666,85.34022502150162,35.02025543440026,292.1826608696026,117822,46260,Jasond,28.0,Entrepreneur,"Mortgage Loan, Debt Consolidation Loan, Mortgage Loan, Payday Loan, Debt Consolidation Loan, Home Equity Loan, and Personal Loan",Good,No,Low_spent_Large_value_payments,Standard
45654.456666666665,3866.8713888888888,7.333333333333333,6.0,12.666666666666666,3.6666666666666665,26.041666666666668,12.75,8.26,5.708333333333333,2056.7766666666666,32.235131654990155,273.8333333333333,117.2820471151532,67.34310554845793,360.1608259481039,16698,4380,Deepaa,21.0,Developer,"Debt Consolidation Loan, Not Specified, Home Equity Loan, Auto Loan, Home Equity Loan, Payday Loan, Mortgage Loan, and Personal Loan",Standard,Yes,High_spent_Medium_value_payments,Standard
73928.46,5988.705000000001,4.0,5.0,8.0,0.0,8.75,7.0,10.015,2.0,548.2,35.43261519176227,386.625,0.0,42.63559025189578,630.7751374448243,5694,38382,Np,31.0,Lawyer,No Data,Good,No,High_spent_Large_value_payments,Good
131313.4,10662.601652874946,0.0,1.0,8.0,2.0,0.0,2.625,10.215,3.75,352.16,34.706412870594605,370.5,717.8262858598084,86.56638801207531,771.2083056698154,5706,10314,Nadiaq,34.0,Lawyer,"Credit-Builder Loan, and Mortgage Loan",Good,No,High_spent_Large_value_payments,Good
50413.07833333333,4243.756527777778,6.333333333333333,5.666666666666667,13.333333333333334,3.0,22.041666666666668,14.125,12.943333333333333,3.8333333333333335,1133.1066666666666,32.029756442907704,156.54166666666666,140.12350423888293,56.878125711822015,400.8673440909583,103614,14461,Annk,30.0,Doctor,"Not Specified, Auto Loan, and Student Loan",Standard,Yes,Low_spent_Small_value_payments,Standard
114838.41,9843.8675,2.0,5.0,7.0,3.0,11.875,11.375,8.615,6.125,1377.74,30.300718588868797,259.5,226.8927919215432,212.23560220847847,662.6030877056958,5730,16727,Charlie Zhur,23.0,Doctor,"Personal Loan, Debt Consolidation Loan, and Auto Loan",Good,No,High_spent_Small_value_payments,Good
31370.8,2825.233333333333,0.875,5.875,12.0,2.0,1.5,0.5,5.26,4.25,421.43,28.746654630680723,320.625,46.61612907334207,22.29805714008664,320.7845546329577,5742,47624,Jamesj,44.0,Journalist,"Not Specified, and Payday Loan",Good,No,Low_spent_Small_value_payments,Good
33751.27,2948.605833333333,5.0,5.0,20.0,3.0,16.125,19.875,10.625,7.0,1328.93,32.25152178497672,233.5,65.00817428651536,25.192561910314712,376.0524756438232,5754,42603,Saphirj,40.0,Teacher,"Credit-Builder Loan, Personal Loan, and Auto Loan",Standard,Yes,High_spent_Large_value_payments,Standard
114833.08000000002,9635.423333333334,4.0,5.5,5.5,1.5,6.6875,7.9375,3.915,3.5,896.975,33.66019457131649,338.5625,126.34404043040274,119.84586276810876,699.513457476635,5766,31479,Soyoungd,31.0,Engineer,Mortgage Loan,Good,No,High_spent_Large_value_payments,Good
54392.16,4766.68,6.0,4.0,14.0,3.0,10.625,8.5,5.539999999999999,4.0,179.22,29.911403017107787,325.5,124.39208242092045,33.349568589344514,321.5041169445163,5778,15941,Harriet McLeodd,35.0,Entrepreneur,"Not Specified, Student Loan, and Personal Loan",Standard,Yes,Low_spent_Small_value_payments,Standard
8419.5625,536.6302083333334,6.0,4.5,24.5,5.0,13.9375,10.5625,7.967499999999999,6.125,1800.5700000000002,33.90144755367446,94.5,25.425555643002184,6.533104959722168,270.29313298421,5790,27750,Sinead Carews,39.0,Manager,"Personal Loan, Mortgage Loan, and Home Equity Loan",Standard,Yes,Low_spent_Small_value_payments,Poor
25546.26,2415.855,8.0,7.0,14.0,5.0,15.875,12.125,8.205,5.0,758.44,32.598256789415885,221.5,101.3286373638512,19.35620844123396,259.98117275004125,5802,4084,Poornimaf,37.0,Entrepreneur,"Not Specified, Student Loan, Student Loan, Credit-Builder Loan, and Auto Loan",Standard,Yes,Low_spent_Small_value_payments,Standard
31993.78,2942.148333333333,6.0,6.0,7.0,2.0,8.5,14.5,6.779999999999999,0.75,818.22,31.93147411612858,205.5,45.14129822463578,23.27102220438635,366.7920705369734,5814,13266,Chalmersa,30.0,Scientist,"Payday Loan, and Home Equity Loan",Standard,Yes,High_spent_Small_value_payments,Standard
50679.5375,4303.794791666667,7.5,6.5,19.0,3.5,17.875,11.9375,13.82,5.3125,1747.02,34.381060508192455,239.5,22.48165780989517,48.74227272247368,533.3929080688904,106014,24688,Parkm,17.0,Accountant,No Data,Standard,Yes,Low_spent_Small_value_payments,Poor
